序号,昵称,达人链接,星图/花火/蒲公英主页链接,主发平台,账号类型,"主发平台
粉丝量（w）","1-20s
视频预估报价","21-60s
视频预估报价","60s以上
视频预估报价",第一梯度,第二梯度,第三梯度,政策,合作简介/说明,全网平台,当前政策梯度,下半年接单次数,,
1,虎哥说车,https://www.douyin.com/user/MS4wLjABAAAAnzRLpvV9w2jXzWhHSsG5D4SoqfYazU1-fvgm4joaHXQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6674590795636408324?market_track_id=HDADMKOFPSESVBHCXA3F&search_session_id=7547656061898358793&possessStarId,抖音,汽车,2823.3,"240,000","600,000","600,000",30%,33%,35%,"1-3条：30% （CPM100 CPE5）
3-8条：33% （CPM100 CPE5）
8条以上：35%（CPM100 CPE5","虎哥曾从事汽车主持17年，专业度非常高的说车人。全网粉丝超2000w+，全平台作品累计超过40亿次播放量，稳居抖音、快手的头部说车人位置🏆
合作抖音：可分发除快手外所有新媒体短视频平台
合作快手：可分发除抖音外所有新媒体短视频平台
合作视频号或懂车帝：可分发除抖音、快手外所有新媒体短视频平台",抖音、快手、小红书、视频号、懂车帝,,1,,
2,猴哥说车,https://www.douyin.com/user/MS4wLjABAAAAKEwyE73s1rSCzBML8w2B3l_qpr0m9EzgBOZCRgBYpmQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6639152398323417102?market_track_id=4OKLI625Z7ICJKD379YP&search_session_id=7547655771812315145&possessStarId,抖音,汽车,3410.2,"220,000","550,000","580,000",25%,30%,35%,"1-3条：25%（cpm50，cpe5）
3-8条：30%（cpm50，cpe5）
8条以上：35%（cpm50，cpe5）","汽车垂类王者
抖音、快手、懂车帝三端发力，全网粉丝近 1 亿 ，稳坐抖音车垂博主月榜 TOP1 ！ 长城、智己、东风、沃尔沃 等车企的合作常客，汽车品牌营销的不二之选🚗！
可合作平台：抖音、快手、小红书、
懂车帝、视频号微博、今日头条、汽车之家
可分发平台：可以分发今日头条
西瓜视频、视频号","抖音、快手、小红书、
懂车帝、视频号微博、今日头条、汽车之家",,1,,
3,维维啊,https://v.douyin.com/kGwHZf2OD-M/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6710621056995950599?market_track_id=FVVKPNX6WQ277BP3ZDK0&search_session_id=7547658263469178931&possessStarId,抖音,剧情搞笑,2039.7,"350,000","500,000","500,000",25%,25%,25%,25%cpm40 cpe4,"维维啊：抖音电影年度突破创作者🎬
全网粉丝3000w，抖音粉丝近2000w、获赞7亿+，账号60天粉丝破千万成为行业标杆🔥
以幽默风趣的形式将产品融入剧情，搞笑不生硬，2024-2025年上榜热热搜20余次！！
与舒肤佳、趣多多、Swisse、深蓝等一线大牌多次合作。
可合作：抖音、快手、小红书、b站、微博、视频号
超头部达人、抖音精选计划达人、独创#维式委屈 157.8亿+播放
【抖+可免费授权3个月】
【站内的内服、内容热推（不含磁贴）可免费授权3个月】
【站内的品牌官方账号可免费把素材授权3个月，二剪需要给我们确认】
【7月发布档期可赠送视频号分发】",抖音、快手、小红书、b站、微博、视频号,,,,
4,八戒说车,https://www.douyin.com/user/MS4wLjABAAAAmBe9IvPSBxy2TvE_QsS9b_xW4JinLfkVQdZyWIr24sqqS32z8lHisdA04vESK0mj,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6756041124684496904?market_track_id=NZ23J74RIB6DOBG19DHA&search_session_id=7547658906659504155&possessStarId,抖音,汽车,1860,"160,000","390,000","450,000",25%,30%,35%,"1-3条：25%（cpm50，cpe5）
3-8条：30%（cpm50，cpe5）
8条以上：35%（cpm50，cpe5）","可合作平台：抖音、快手、小红书、
懂车帝、视频号、今日头条、汽车之家
可分发平台：可以分发今日头条
西瓜视频、视频号","抖音、快手、小红书、
懂车帝、视频号、今日头条、汽车之家",,1,,
5,周周啊,https://v.douyin.com/vKNHlnkXvnU/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6719762933103984652?market_track_id=T3271BA05UVTAC5J87G1&search_session_id=7547658000741089290&possessStarId,抖音,剧情搞笑,2311.6,"435,000","468,000","495,000",25%,25%,25%,25%返点保kpi,"周周呀 ：搞笑剧情顶流
坐拥 2000w+ 全网粉丝，获赞 6.6 亿 + ，条条视频都是爆款！超 E 人设自带话题，营销号疯狂转发🔥！与雅诗兰黛、抖音商城、大众、理想等一线大牌深度合作，品牌曝光直接拉满！
合作抖音平台，分发送个视频号
可合作平台小红书，快手，抖音
",抖音、小红书、快手,,1,,
6,脱缰凯,https://v.douyin.com/OfGTEKZji6o/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6790135851746590728?market_track_id=98OFHNJJLMIER1BCBNBS&search_session_id=7547656901635653678&possessStarId,抖音,剧情搞笑,2709,"250,000","400,000","500,000",30%,30%,30%,抖音统一30%保cpm40 cpe4,"抖音、视频号、快手、B
024 dou斯卡达人、多次获得：头部必选月榜前10、高潜游戏周榜第一、3c第一
达人粉丝粘性极高、男性占比高、纯自然流基本平均播放2000w+ 互动量50w+、常有爆款破亿视频（使命召唤、讯飞耳机商单发布后24h破亿播放）
合作分发平台：小红书/视频号/快手/B站免费赠送其一",抖音 、快手、 B站、 小红书 、视频号、 微博,,,,
7,懂车侦探,https://v.douyin.com/61ycvBN/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6669674737641193485?market_track_id=QV2MP3VXYK4NY1Y31LAO&search_session_id=7547657026986934282&possessStarId,抖音,汽车,2345.6,"288,000","344,000","384,000",30%,30%,30%,上汽和通用项目抖音政策30%，其他平台不低于20%,汽车头部必选周榜TOP3,抖音、快手、小红书、视频号,,,,
8,车坛老炮儿,https://v.douyin.com/civt7lRn1cM/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629657814136520712?market_track_id=ZSFNRIG8RUYEPYKZ7BDU&search_session_id=7547660861284991026&possessStarId,抖音,汽车,1498.7,"152,000","380,000","380,000",30%,35%,38%,"1-3条：30% （CPM100 CPE5）
3-8条：35% （CPM100 CPE5）
8条以上：38%（CPM100 CPE5）","合作抖音：可分发除快手外所有新媒体短视频平台
合作快手：可分发除抖音外所有新媒体短视频平台
合作视频号或懂车帝：可分发除抖音、快手外所有新媒体短视频平台",抖音、快手、小红书、视频号、懂车帝,,,,
9,伊总来了,https://www.douyin.com/user/MS4wLjABAAAATU8x-m9ilCiYeS6NdhqebtpjcvaJVvo9YnCeqq-4sdA,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7195477871970746428?market_track_id=NIJLUXTBPPKF1MXW4PEL&search_session_id=7547661854840258610&possessStarId,抖音,汽车,1450,"35,600","89,000","118,000",30%,35%,38%,"1-3条：30% （CPM100 CPE5）
3-8条：35% （CPM100 CPE5）
8条以上：38%（CPM100 CPE5）","可合作平台：抖音 快手 视频号
可分发 小红书 微博 今日头条",抖音、快手、视频号、小红书、微博、今日头条,,1,,
10,玩车女神,https://www.douyin.com/user/MS4wLjABAAAAokOwJXQ1IEesnNfiWOUMhfhgLYqpWijH_CMONO7lApM,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6618398482694668301?market_track_id=TK4C2SOHI9Q0901YU1L4&search_session_id=7547662377677340723&possessStarId,抖音,汽车,1415.1,"200,000","330,000","360,000",30%,30%,30%,上汽和通用项目抖音政策30%，其他平台不低于20%,汽车头部必选月榜TOP12,B站、快手、视频号、今日头条、,,1,,
11,大掌柜夫妇,https://www.douyin.com/user/MS4wLjABAAAARLES30_glrfkHr7grVFKzWL7DNRHTEJic5zyN0Bks2A?from_tab_name=main,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6740435279955361800?market_track_id=R3AH41TLAS3ZFY5OS9C0&search_session_id=7547663043157770290&possessStarId,抖音,母婴剧情,1337,"310,000","310,000","310,000",30%,30%,30%,30%,"✔ 大掌柜夫妇：抖音优质内容创作者
头部必选榜·亲子周榜top19
抖音粉丝近1300w+、获赞3.1亿+，全平台近2000w粉丝，月链接用户数高达5000w 中国东方研究会经济与文化专业委员会委员
内容以夫妻日常、搞笑段子、情感互动、家庭生活为主
夫妇搭档出镜，风格通常为“欢喜冤家”或“甜蜜互动”，通过生活化场景引发共鸣，还是有三娃👶🏻的家庭
与魏牌蓝山、奥利奥、潘婷、QQ星等一线大牌常年合作，全品类产品都可配合日常生活剧情进行植入。",抖音、小红书、快手、视频号,,1,,
12,老丈人说车,https://www.douyin.com/user/MS4wLjABAAAAQEz_scsICUFGfJnBpg5qav7tH3Vx7f1RJklH1aTyNXM,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6618398384120135683?market_track_id=AIVTU1Q3ASMC8CGRQNFD&search_session_id=7547663564018909235&possessStarId,抖音,汽车,1000.5,"100,000","250,000","300,000",30%,33%,35%,"1-3条:30%(CPM80 CPE5)
3-8条:33%(CPM80 CPE5)
8条以上:35%(CPM80 CPE5)","可合作：抖音，快手，懂车帝，视频号，小红书
抖音红人影响力榜-汽车第5；
懂车帝优质创作者奖第1名；
克劳锐自媒体价 
值榜老丈人说车第4名；
mcn小红书汽车榜第8名；
抖音红人影响力榜-汽车第10
分发平台：视频号，汽车之家，微博",抖音、快手、小红书、视频号,,3,,
13,叶公子,https://v.douyin.com/0ip5B8hxOTc/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6677781900548898828?market_track_id=K9TVSGALISD4S1DJR8SF&search_session_id=7547656187081949210&possessStarId,抖音,剧情,2728.6,"127,000","127,000","137,000",30%,33%,35%,1-3条:30% 3-8条 33% 8条及以上:35%，（保cpm50，cpe5）,"叶公子：初代剧情头部博主
全网粉丝 2600W+ ，作品累计播放 10 亿次 ，点赞 5.8 亿次 ！星图视频平均播放 855w+ ，商单保底 播放500w+ ！曾合作过华为、自然堂、茅台、海蓝之谜、广汽等多领域大牌，美妆、护肤、食品、汽车通通拿捏，带货力 MAX！
可合作平台：抖音 快手 小红书 视频号
初代剧情头部博主
头部必选榜·月榜·剧情·第14名
核心数据:
星图视频均值855w➕播放
商单可至少保500w➕播放
【分发】目前可给到价值8w的视频号免费分发
【短剧额外权益优势】如图",抖音、快手、小红书,,1,,
14,语柠Cici,https://www.douyin.com/user/MS4wLjABAAAAT5sKwApTJ6rqftBnkoiEb2AiXgRpAI1Hw3TJyuWltHc9ZXTdjA0ImrrccJe8WXeP,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6962075776887816200?market_track_id=9E2F6CZ5ENB8H345481T&search_session_id=7547663292546727946&possessStarId,抖音,汽车/旅行,1141.2,"158,000","219,000","238,000",30%,30%,30%,30%,"头部必选榜·周榜·汽车·多家车企合作过创作内容通过分享自己在不同地方的旅行经历
可合作抖音，分发视频号",抖音、小红书、视频号,,,,
15,放扬的心心,https://www.douyin.com/user/MS4wLjABAAAAqz_2v6U8gWyipLbpxwaysaZQGk0MgVOhOjAyLxYACZ8?from_tab_name=main,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629665306203652099?market_track_id=MLHYZEODFT83UTRSVGGO&search_session_id=7547660718867791898&possessStarId,抖音,剧情/颜值,1649.4,"150,000","180,000","200,000",30%,30%,30%,30%,"✔ 放杨的星星：抖音精选计划博主
抖音超高颜值情侣博主👫🏻
抖音粉丝1600w+ 获赞 5亿+ 
高颜值情侣CP，两个人为专业演员出身，演技高超🎬
最有效率最勤奋配合度最高的头部达人之一👍🏻
与雅诗兰黛、兰蔻、华为、vivo、OPPO、岚图、零跑等一线品牌深度合作。",抖音、快手、小红书,,,,
16,大鲜汽车讲堂,https://www.douyin.com/user/MS4wLjABAAAAQz51UhcKV25-WBOJPzWomvcWQdeZ0GrGOiVav-7fgls,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629663464358936589?market_track_id=82HRU2HNH6M4D36ED8XM&search_session_id=7547663887747825710&possessStarId,抖音,汽车,1022.4,"80,000","188,000","200,000",30%,33%,35%,"1-3条:30%(CPM80 CPE6)
3-8条:33%(CPM80 CPE6)
8条以上:35%(CPM120 CPE6)","可合作平台：抖音、快手、视频号、懂车帝、小红书、微博
抖音平台top10汽车知识创作者，车后市场直播带货头部达人
可免费分发，视频号、小红书、微博等平台",抖音、快手、视频号、懂车帝、小红书、微博,,5,,
17,科技公元,https://www.douyin.com/user/MS4wLjABAAAA3AUtBDeklwYia2XtumgLzmQioRIFEFNmuv7Hf1fBd4k,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629722310003654663?market_track_id=US4CP2GIRM7RLTQOHMTA&search_session_id=7547663155032506418&possessStarId,抖音,3C/汽车,1331,"92,000","156,800","196,800",30%,32%,35%,"1-3条 返点30 cpm100 cpe10
3-8条 返点32 cpm80 cpe8
8条以上 返点35 cpm60 cpe6","可合作平台：抖音，快手，红书，B站，视频号
可以合作送微博/B站，有硬性要求可以沟通视频号
【抖音创作者学院合作讲师】
【2019抖音年度知识创作者】
【2020秒懂百科创作者知识力年度榜冠军】
【2021抖音“科技创梦”话题活动第2名、TOP 15 】【全球短视频征集活动中获“最佳创意奖”】
【2022克劳锐TOPKLOUT年度粉丝Pick达人等】",抖音，快手，红书，B站，视频号,,,,
