序号,昵称,账号ID,达人概况,现挂靠机构,达人类型,主平台粉丝量(万),签约进度,合同开始日期,合同结束日期,合同期限(月),签约返点(%),多平台账号信息(JSON),全网平台,备注
1,伊博,sphTheZgNtmSL7O,头部重点达人,省广星媒,剧情搞笑,16,2025/8/15至2025/1/31,2025-8-15,2025-1-31,-7,50,"[{""platform"": ""抖音"", ""account_name"": ""伊博"", ""fans_count"": ""1067.4"", ""price_60s_plus"": ""150000"", ""cooperation_policy"": ""40""}, {""platform"": ""微信视频号"", ""account_name"": ""黑人伊博"", ""fans_count"": ""16"", ""price_60s_plus"": ""120000"", ""cooperation_policy"": ""50""}]",抖音、快手、小红书、b站,"抖音：伊博1067.4w粉 60s+价格150000（40%合作政策）
微信视频号：黑人伊博16w粉 60s+价格120000（50%合作政策）"
2,西门读书,sphTZ1vCnUN0ejW,影响力重点达人,省广星媒,人文艺术,1,对方审批中,,,,50,,,
3,玩车小武,sph56x7Uyl9hlm7,头部重点达人,省广星媒,车垂车评,4,2025/9/1至2026/8/31,2025-9-1,2026-8-31,11,50,,抖音、小红书、微博,
4,玩车的航仔,sphBJbgss10A1r1,头部重点达人,省广星媒,车垂车评,4,2025/9/1至2026/8/31,2025-9-1,2026-8-31,11,50,,抖音、小红书、微博,
5,青如一一,sphdVy82SaXE4dA,头部重点达人,省广星媒,非遗文旅车垂,10,合同流程中,,,,50,"[{""platform"": ""抖音"", ""account_name"": ""清如一"", ""fans_count"": ""1138.3"", ""price_60s_plus"": ""240000"", ""cooperation_policy"": ""30""}]",抖音,抖音：清如一1138.3w粉，60s+价格240000（30%合作政策）
6,姜寻梦Dream,sphhbjw6Atss2OX,头部重点达人,省广星媒,非遗文旅车垂,2,合同流程中,,,,50,"[{""platform"": ""抖音"", ""account_name"": ""姜寻梦"", ""fans_count"": ""541.4"", ""price_60s_plus"": ""188888"", ""cooperation_policy"": """"}]",抖音,抖音：姜寻梦541.4w粉，60s+价格188888
7,方也也也也也也,sphqGZcOwLkMP8i,头部重点达人,省广星媒,非遗文旅车垂,74,合同流程中,,,,50,"[{""platform"": ""抖音"", ""account_name"": ""方也"", ""fans_count"": ""1104"", ""price_60s_plus"": ""250000"", ""cooperation_policy"": """"}]",抖音、小红书,抖音：方也1104w粉，60s+价格250000
8,小董商业论,sphSYTCSYPyYCnW,职场财经,省广星媒,新闻财经资讯,52.2,邮件已确认，待合同签署,,,,60,,/,
9,贺的科技匣子,sph4iYOjallqPWb,科技财经,省广星媒,科技数码,31.9,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,快手、小红书,
10,独享小羊记,sphScba557OH2jv,VLOG推账号,省广星媒,生活方式,32.5,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,/,
11,华青观点,sphXipDcLZ5O2FA,科技财经,省广星媒,新闻财经资讯,66.3,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,抖音,
12,无规泽评测,sphWVZS7VCkoaYT,科技财经,省广星媒,科技数码,26.2,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,/,
13,瑶策论,spha5uPBDWcniTV,科技财经,省广星媒,新闻财经资讯,42.1,邮件已确认，待合同签署,,,,60,,/,
14,贝儿的奇妙旅行,sphpvtDBS5OKAHs,旅行,省广星媒,萌娃日常/亲子互动,57.3,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,抖音,
15,玲点解读,sphDKb06Z9AvXDp,科技财经,省广星媒,新闻财经资讯,37.2,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,抖音、小红书,
16,小松菜籽日志,sphvVFcQrpkzNNZ,VLOG推账号,省广星媒,生活方式,34.3,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,小红书,
17,颠颠妈妈育儿说,sphTP1ScqEf1O2O,母婴,省广星媒,萌娃日常/亲子互动,30.8,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,逛逛,
