序号,机构logo,"供应商全称
",机构名,"供应商性质
（直媒/集采/独代）",当前政策梯度,供应商开票内容,供应商开票信息,24年政策,,25年政策,,24年合作情况,,25年合作情况,,"签框前
累量金额
（针对新签约供应商）",税率(%),返点账期,支付账期,是否代下单,代下单服务费,一级对接人,,,,二级对接人,,,年框合同信息,,,,,,,,资源类型,资源属性,可合作平台,,,,,,,,,,供应商简介,2025年刊例链接,,,,,,,,,,,,
,,,,,"政策范围：
X≥30%
25%≤X＜30%
20%≤X＜25%
15%≤X＜20%
10%≤X＜15%
X＜10%",,,签约政策,当前政策,签约政策,当前,全年累量金额,"合同期内
累量金额",全年累量金额,"合同期内
累量金额",,,,,,,"对接人
姓名","对接人
职称",对接人邮箱,对接人微信号/电话号码,"对接人
姓名","对接人
职称",对接人微信号/电话号码,开始,结束,到期时间,沟通进度,沟通备注,沟通时间,跟进人,双盖合同,,,"抖音
",小红书,"微信
公众号","微信
视频号","微博
",B站,知乎,快手,懂车帝,"其他
（注明平台）",,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,备注
1,,奇光青穗(广州)数字传媒有限公司,奇光青穗,独代+集采,25%≤X＜30%,广告服务*广告发布费 ,,"1、合作政策：
自营资源：0-500W：25%
500W以上：30%
外采资源：不低于15%
2、不可代下单，无支付账期
3、返点账期：1个月
4、资源类型：丰富视频号资源","自营：0-500W：25%
外采：不低于15%","自营：25%
外采：R≥15%","自营：25%
外采：R≥15%",,,,,,6,1个月,/,/,/,梁钊恒,策划运营总监,   1321055540@qq.com,15802034024,,,,2025/1/1,2025/12/31,62,已归档,,,SIRI,奇光青穗25年框架.pdf,,,,,,√,,,,,,,,,,,【奇光青穗】青穗传媒-视频号达人-4月刊例(8).xlsx,青穗传媒-视频号达人-5月刊例(19).xlsx,青穗传媒-视频号达人-6月刊例(18).xlsx,青穗传媒-视频号达人-7月刊例(3).xlsx,青穗传媒-视频号达人-8月刊例.xlsx,,青穗传媒-视频号达人-10月刊例.xlsx,,,
🔥new,,江西省众灿互动科技股份有限公司,众灿、酷比，河书、炳灿/,独代+集采,25%≤X＜30%,现代服务*信息服务费,,"政策：独家及外采资源通用政策
小红书：25%返点
抖音：30%返点","独家及外采资源通用政策
小红书：25%返点
抖音：30%返点","独家及外采资源通用政策
小红书：27%返点
抖音：30%返点","独家及外采资源通用政策
小红书：27%返点
抖音：30%返点","2,777,473","2,777,473",,,,6,1个月,3个月,是,/,周智婷,商务,zhouzhiting@zhongcanhd.com,15070779824,胡志超,商务总监,16607092030,,,,"独家政策：小红书：27%返点
抖音：30%返点
外采政策单独沟通
返点收到票后一个月内结算，不做代下单，无账期
@林诗茹可以推进续签",推进续约-签署合同中-玉莹,2025/10/16,SIRI,,"母婴,美妆,时尚,医生,亲子,家居,数码,旅行,生活","测评,探店,大学生,海归,高学历,育儿师,医生",√,√,,,,√,,,,,,众灿2025-1月刊例表众灿邹邹17607905936.xlsx,众灿2025-2月刊例特价..xlsx,众灿 2025-3月刊例表3.3(1).xlsx,【众灿】2025-4月刊例表4.1.xlsx,众灿2025-5月刊例表.xlsx,众灿2025-6月刊例表.xlsx,众灿2025-7月刊例表.xlsx,众灿2025-8月抖音自营刊例（小红书未更新）.xlsx,,众灿2025-10月刊例表.xlsx,,,
🔥new,,江西讯息文化传媒有限公司,讯息,独代+集采,25%≤X＜30%,广告服务*广告发布费,,"年框政策：
①签约+自营的视频号【代下互选】+【自主下互选】：0-100W：8折/返点20%，100W以上：75折/返点25%
②官媒政策：是表中为执行价格，0-100w：95折/返点5%，100w以上：9折/返点10%
PS：全平台一起累量，包含外采","年框政策：
①签约+自营的视频号【代下互选】+【自主下互选】：0-100W：8折/返点20%，100W以上：75折/返点25%
②官媒政策：是表中为执行价格，0-100w：95折/返点5%，100w以上：9折/返点10%
PS：全平台一起累量，包含外采","1、独家视频号、微博：0-100w返点25%；100w-200w返点30%
省广下单讯息独家微博博主额外奖励10%，由讯息推荐的非独家博主可以额外奖励5%的返点
3、视频号、微博外采返点拉齐20%
4、支付账期三个月，返点账期次月末结算
5、开票：广告服务*广告发布费  6%专票","1、独家视频号、微博：0-100w返点25%；100w-200w返点30%
省广下单讯息独家微博博主额外奖励10%，由讯息推荐的非独家博主可以额外奖励5%的返点
3、视频号、微博外采返点拉齐20%
4、支付账期三个月，返点账期次月末结算
5、开票：广告服务*广告发布费  6%专票","2,769,551","2,769,551",,,,6,1个月,3个月,是,/,李加顺,高级客户经理,shun-jiali@jxxxwhcmwwgc.onexmail.com ,14747044198,李家成,客户总监,18779478303,2025/6/1,2026/5/31,213,已归档,,,SIRI,讯息X省广25年年框协议.pdf,"汽车,母婴,时尚,生活,家居,数码,剧情","测评,高学历,电视台/电台主持人,高管,企业/品牌创始人,官媒",√,√,√,√,√,√,,√,,今日头条/百家号,江西讯息文化传媒有限公司简介(1).pdf,,,"讯息文化3月官方媒体限价.xlsx
讯息文化MCN-3月刊例.xlsx","【讯息文化】4月官方媒体限价(1).xlsx
【讯息文化】4月视频号抖音刊例(1).xlsx","讯息文化&5月官方媒体限价.xlsx
讯息文化MCN&5月刊例(6).xlsx","讯息文化&6月官方媒体限价(1).xlsx
讯息文化MCN&6月刊例(1).xlsx",讯息文化MCN&7月刊例(2).xlsx,讯息文化MCN&8月刊例(2).xlsx,,"讯息文化&10月官方媒体限价(2).xlsx
讯息文化MCN&10月刊例(2).xlsx",,,
🔥new,,北京百车宝科技有限公司,百车宝,独代+集采,X≥30%,现代服务*信息服务费,,"确认政策：
1）政策：0< X ≤300W：25%
300W< X ≤500W：27% 
500W以上：30%
2）独家和外采资源可以一起累框",0< X ≤300W：25% ,全平台（抖音、视频号、小红书拉齐30%,全平台（抖音、视频号、小红书拉齐30%,"3,520,000","3,520,000",,,,6,3个月,/,否,/, 曹学超 ,华南商务总监,caoxuechao@baichebao.com,Jimmy cao,,,,2025/6/1,2026/5/31,213,已归档,,,SIRI,省广X百车宝25年年框合同.pdf,汽车,"专业赛车手,媒体主编/创始人,情侣,播音主持专业,演员表演",√,√,,√,√,,,√,√,今日头条,百车宝公司介绍.pdf,【百车宝】1月独家刊例（含商务签约达人）1.0.xlsx,【百车宝】2月独家刊例（含商务签约达人）2.1.xlsx,【百车宝】3月独家刊例（含商务签约达人）1.1.xlsx,【百车宝】4月独家刊例（含商务签约达人）V3.xlsx,【百车宝】5月独家刊例（含商务签约达人）7.0.xlsx,【百车宝】6月独家刊例（含商务签约达人）.xlsx,【百车宝】7月独家刊例（含商务签约达人）4.0.xlsx,【百车宝】8月独家刊例（含商务签约达人）.xlsx,,【百车宝】10月独家刊例（含商务签约达人）.xlsx,,,
🔥new,,北京新蜂趣驾网络科技有限公司,新蜂趣驾,独代,25%≤X＜30%,广告服务*广告发布费,,"政策：独家及外采资源通用政策（独家+外采累框）
独家+外采拉通政策
抖音+视频号：拉通30%
小红书：不低于20%
","政策：独家及外采资源通用政策（独家+外采累框）
独家+外采拉通政策
抖音+视频号：拉通30%
小红书：不低于20%",抖音30%（侣行25%），小红书25%,抖音30%（侣行25%），小红书25%,"185,000","185,000","除侣行账号25%以外，抖音平台其余所有博主拉齐30%
小红书平台：统一25%",,,6,1个月,/,否,/,刘园,商务经理,lyq@xfqj.top,18800120746, 安博超 ,总经理,abc2ysh,2025/7/1,2026/6/30,243,已归档,,,SIRI,省广x新蜂25年年框合同.pdf,"汽车,母婴,时尚,亲子,旅行,影视娱乐","高学历,电视台/电台主持人,高管,媒体主编/创始人,播音主持专业,演员表演,舞蹈,作家,节目创始人,节目嘉宾,汽车研究所所长,育儿师,模特",√,√,,√,,,,√,√,,新蜂MCN机构PPT介绍.pptx,,,新蜂&金盟主3月刊例.xlsx,【新蜂】&金盟主4月刊例.xlsx,新蜂&金盟主5月最新刊例.xlsx,新蜂&金盟主6月刊例.xlsx,新蜂趣驾7月刊例.xlsx,新蜂传媒8月刊例V2 .xlsx-新蜂小兔.xlsx,,新蜂传媒10月刊例(10.9）(9).xlsx,,,
🔥new,,苏州大禹数字文化科技集团有限公司,大禹,独代,25%≤X＜30%,现代服务·信息服务费,,"确认政策：
1）只售卖独家达人，不做资源外采
2）全平台拉通政策（抖音，小红书）
保量200W（未达标不设处罚条款），返点22%，全年累量达500W，全量增加2%的返点","1）只售卖独家达人，不做资源外采
2）全平台拉通政策（抖音，小红书）
保量200W（未达标不设处罚条款），返点22%，全年累量达500W，全量增加2%的返点",拉齐25%，汽车特殊账号30%,拉齐25%，汽车特殊账号30%,"273,400","273,400",,,,6,1个月,/,否,/,刘春艳,商务, liuchunyan@dayukeji.com,carol-liu123,刘春艳,商务,15021105657,2025/1/1,2025/12/31,62,已归档,,,SIRI,省广X大禹25年框合同.pdf,"母婴,美妆,时尚,医生,亲子","测评,大学生,海归,高学历,外国人,电视台/电台主持人,高管,演员,情侣,演员表演,专业化妆师/造型师,医生,插画师,设计师,留学生,营养师,高级皮肤管理师,电竞,（前）女团成员,（前）空姐,文化差异,（前）女团成员,音乐剧演员,二次元,海外,体制内,美术生,恋综嘉宾,3D全景声吃播,模特,方言,摄影师",√,√,√,√,√,√,,√,,今日头条/美拍/QQ空间/A站/点淘/淘宝逛逛,大禹公司介绍-商务版 2023.12.pdf,,,大禹3月刊例(16).xlsx,【大禹】抖音60秒+返30%汽车项目账号【250331】.xlsx,大禹5月刊例.xlsx,大禹刊例6月.xlsx,大禹资源刊例7月.xlsx,大禹8月刊例 资源.xlsx,,大禹刊例10月.xlsx,,,
7,,北京微润易行科技有限公司,熊小婴、天花板、泛生活,独代+集采,25%≤X＜30%,现代服务·信息服务费,,"政策：独家+外采
小红书：25%
抖音：25%
","政策：独家+外采
小红书：25%
抖音：25%",政策：独家+外采小红书：25%抖音：25%,政策：独家+外采小红书：25%抖音：25%,"5,066,740","5,066,740",,,,6,1个月,1个月,否,/,阿雅,副总经理, tangxiaoya@xiongxiaoying.com ,微信：U-ya77,马文耀,副总经理,"电话：18745125229
微信：xxyXXY770",2025/8/1,2026/7/31,274,已归档,,,SIRI,省广X微润易25-26年度代理协议.pdf,"母婴,生活,医生,亲子,家居,数码","测评,探店,高学历,外国人,高管,官媒,舞蹈,作家,医生,营养师,健康管理师,科普,运动/健身教练,中医,混血萌娃,lolita,手工手作,穿搭",√,√,,√,,,,,,,,,,"【熊小婴&美璨&泛生活】3月份小红书刊例-阿雅.xlsx
【熊小婴】大健康2025年3月刊例 0307.xlsx
熊小婴&天花板【家居｜3C数码】2025年3月刊例.xlsx
熊小婴【小红书｜抖音】25年3月母婴刊例-阿雅.xlsx",还没出,"天花板【家居｜3C数码】5月-阿雅16676702776.xlsx
【熊小婴】大健康2025年5月刊例 0509 xlsx.xlsx
熊小婴【小红书｜抖音｜视频号】5月-阿雅16676702776.xlsx
【泛生活】5月份小红书刊例-阿雅16676702776.xlsx",暂无,熊小婴【小红书｜抖音｜视频号】7月刊例.xlsx,熊小婴视频号8月份刊例.xlsx,,"【泛生活MCN】10月-小红书刊例.xlsx
【熊小婴】大健康刊例10月 1010xlsx.xlsx
天花板【家居｜3C数码】10月刊例.xlsx
熊小婴【小红书｜视频号｜抖音】10月刊例.xlsx",,,
🔥new,,南京掌心互动网络科技有限公司   ,掌心,独代,25%≤X＜30%,广告服务*广告发布费 ,,"政策：独家刊例资源政策
抖音：30%，需保roi项目保0.3左右：15%-20%返点，线下附加费无返点。
微博：微任务下单价返点 25%
微信（不走平台）：刊例折扣如下（头条/次条/植入）6折
刊例价格不含税不含平台互选费用

小红书：返点 25%，线下附加费无返点。
B站：返点15%
附加费用(包括但不限于挂车费、授权费、产品费、线下出席费、多人出镜费、差旅费等)无返点。


","政策：独家刊例资源政策
抖音：30%，需保roi项目保0.3左右：15%-20%返点，线下附加费无返点。
微博：微任务下单价返点 25%
微信（不走平台）：刊例折扣如下（头条/次条/植入）6折
刊例价格不含税不含平台互选费用

小红书：返点 25%，线下附加费无返点。
B站：返点15%
附加费用(包括但不限于挂车费、授权费、产品费、线下出席费、多人出镜费、差旅费等)无返点。
",全平台30%,全平台30%,"247,810","247,810","除深度合作头部博主高返点政策外
其余达人全平台（抖音，微博，小红书，b站）拉齐30%",,,6,1个月,/,否,/,曹玥,商务经理, yvonne@njzxhd.com,zxhdy13,药药,商务负责人/联合创始人,qi11han,2025/6/1,2026/5/31,213,已归档,,,SIRI,掌心互动25年年框.pdf,"汽车,母婴,美妆,时尚,生活,家居,数码","测评,海归,情侣,选美冠军",√,√,√,√,√,√,,√,,,2024掌心资源介绍 -V11-cy.pdf,掌心互动2025年1月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,掌心互动2025年2月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,掌心互动2025年3月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,【掌心互动】2025年4月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,掌心互动2025年5月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,掌心互动2025年6月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,掌心互动2025年7月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,掌心互动2025年8月全平台刊例【美妆+科技+家居+母婴+汽车】(1).xlsx,,掌心互动2025年10月全平台刊例【美妆+科技+家居+母婴+汽车】.xlsx,,,
🔥new,, 青岛古麦嘉禾科技有限公司,古麦嘉禾、星禾时代,独代,25%≤X＜30%,广告服务*广告发布费,,"政策：独家资源政策（不做外采，不能代下单）
全平台（抖音、快手、小红书、b站、视频号）拉齐：不低于25% ",全平台（抖音、快手、小红书、b站、视频号）拉齐：不低于25% ,"全平台独家签约账号（包含：抖音、快手、小红书、b站、视频号）拉齐：
0-360W：30%
360-660W：33%
660W以上：35%
（含服务费累量，不含服务费计返）",0-360W：30%,"421,000","421,000",,,,6,1个月,/,否,/,黄月,商务经理,17660689893@163.com,,黄月,商务经理,gumai111,2025/6/1,2025/12/31,62,已归档,,,鑫豪,https://kxawb3u6td.feishu.cn/file/BOFgbVohFo9RkMxbOQxc5eUYn8c,"母婴,美妆,亲子,萌宠,剧情","测评,情侣,一人多角,古装/古风/国风",√,√,,√,,√,,√,,,古麦2024.pdf,【古麦嘉禾】2025年1月刊例.xlsx,【古麦嘉禾】2025年2月刊例.xlsx,【古麦嘉禾】2025年3月刊例.xlsx,【古麦嘉禾】2025年4月刊例.xlsx,【古麦嘉禾】2025年5月刊例(1).xlsx,【古麦嘉禾】2025年6月刊例.xlsx,【古麦嘉禾】2025年7月刊例.xlsx,【古麦嘉禾】2025年8月刊例.xlsx,,【古麦嘉禾】2025年10月刊例.xlsx,,,
