使用场景,场景说明,必需参数,推荐参数,可选参数,完整命令示例
场景1：抓取所有一级标签,遍历所有一级内容标签进行抓取,--all-first,"--tags-file, --save-pg, --pg-config","--auto-pages, --auto-pages-upper-bound 100, --domain-qps 2",python run_scheduler.py --all-first --save-pg --pg-config config/postgres.json
场景2：抓取一级+二级标签组合,按一级标签分组合并所有二级标签抓取,--combine-SECOND,"--tags-file, --save-pg, --pg-config","--first-label 美妆, --max-tags 10",python run_scheduler.py --combine-second --first-label 美妆 --save-pg
场景3：单个关键词搜索,根据关键词（昵称/星图ID/抖音号）搜索达人,--keyword 或 --search-star-id 或 --search-handle,--save-pg,"--follower-ge 100000, --follower-lt 1000000",python run_scheduler.py --keyword 李佳琦 --save-pg --follower-ge 100000
场景4：批量关键词搜索,从文件读取多个关键词批量搜索,--keyword-file,"--save-pg, --dedup-keywords","--max-keywords 100, --sleep-between-keywords-ms 1000",python run_scheduler.py --keyword-file keywords.txt --save-pg --dedup-keywords --max-keywords 100
场景5：筛选特定标签抓取,只抓取符合条件的标签组合,无（默认进入此模式）,"--tags-file, --first-label, --second-label","--max-tags 5, --save-pg",python run_scheduler.py --first-label 美妆 --second-label 护肤 --save-pg
场景6：粉丝区间筛选,抓取指定粉丝范围的达人,--all-first 或其他模式,"--follower-ge, --follower-lt, --save-pg",--min-price 10000,python run_scheduler.py --all-first --follower-ge 500000 --follower-lt 2000000 --save-pg
场景7：地域筛选,抓取特定省市的达人,--all-first 或其他模式,"--province-id, --city-id, --save-pg",参考 region_codes.json,python run_scheduler.py --combine-second --province-id 110000 --city-id 110100 --save-pg
场景8：测试运行（预演）,不实际执行只查看请求参数,任意模式参数,#NAME?,--tags-file,python run_scheduler.py --all-first --dry-run
场景9：增量抓取,跳过已抓取的数据继续抓取,任意模式参数,"--skip-existing, --save-pg",--auto-pages,python run_scheduler.py --all-first --skip-existing --save-pg
场景10：高频抓取（自适应QPS）,使用自适应QPS提升抓取效率,任意模式参数,"--adaptive-qps, --adaptive-min-qps, --adaptive-max-qps","--adaptive-step 1, --adaptive-success-needed 5",python run_scheduler.py --all-first --adaptive-qps --adaptive-min-qps 2 --adaptive-max-qps 10 --save-pg
,,,,,
## 核心功能说明,,,,,
,,,,,
功能分类,功能名称,说明,,,
抓取模式,标签广场模式（--all-first）,遍历所有一级标签广场抓取达人,,,
抓取模式,组合标签模式（--combine-second）,将同一级标签下的二级标签合并抓取,,,
抓取模式,关键词搜索模式（--keyword系列）,根据星图ID/昵称/抖音号精准搜索,,,
抓取模式,批量关键词模式（--keyword-file）,从文件读取批量搜索关键词,,,
抓取模式,选定标签模式（默认）,通过 --first-label 和 --second-label 筛选特定标签,,,
数据过滤,粉丝数过滤,--follower-ge 下限--follower-lt 上限,,,
数据过滤,地域过滤,--province-id 省份--city-id 城市,,,
数据过滤,价格过滤,--MIN-PRICE 最低报价(单位:分),,,
数据过滤,视频类型过滤,--video-type（1:图文 2:视频）,,,
请求控制,限速控制,--domain-qps 固定QPS 或--adaptive-qps 自适应QPS,,,
请求控制,重试机制,--retry-MAX 最大重试次数--retry-backoff-ms 退避时间,,,
请求控制,空页停止,--stop-when-empty--stop-when-empty-N 连续N次空页停止,,,
请求控制,错误处理,自动处理 401/403/429 等错误并冷却,,,
分页控制,自动分页,--auto-pages 自动识别总页数--auto-pages-UPPER-bound 上限,,,
分页控制,手动分页,--max-pages 最大页数 --page 起始页 --limit 每页数量,,,
数据存储,文件存储,--output-dir 结果目录--report-dir 报告目录,,,
数据存储,数据库存储,--save-pg--pg-config PostgreSQL配置文件,,,
账号管理,多账号轮换,--use-session-manager（默认开启）自动管理多账号Cookie,,,
账号管理,单账号模式,--cookies-file 指定单个Cookie文件,,,
,,,,,
## 参数默认值推荐,,,,,
,,,,,
参数类型,参数名,默认值,是否推荐修改,修改建议,
分页,auto_pages,TRUE,否,建议保持开启,
分页,auto_pages_upper_bound,100,视情况,大批量抓取可调至500-1000,
分页,limit,20,否,建议保持20,
过滤,use_price_filter,TRUE,否,建议保持开启,
过滤,min_price,0,视情况,可设置为10000（100元）过滤低质量达人,
过滤,video_type,2,否,2为视频类型一般使用默认,
请求控制,sleep_ms,500,视情况,稳定环境可降至300提速,
请求控制,retry_max,3,否,建议保持3次,
请求控制,stop_when_empty,TRUE,否,建议保持开启,
请求控制,stop_when_empty_n,3,否,建议保持3,
限速,domain_qps,2,视情况,稳定环境可升至3-5,
限速,adaptive_qps,FALSE,视情况,高级用户可开启并配置adaptive参数,
账号,use_session_manager,TRUE,否,多账号轮换建议保持开启,
数据库,save_pg,FALSE,是,生产环境建议开启入库,
,,,,,
## 常见参数组合,,,,,
,,,,,
组合名称,参数组合,使用场景,,,
基础抓取,--all-first--save-pg--pg-config config/postgres.json,快速抓取所有标签数据,,,
高质量达人,--all-first --follower-ge 500000 --min-price 50000 --save-pg,抓取50万粉以上且报价>500元的达人,,,
精准搜索,--keyword 达人名称 --follower-ge 100000 --save-pg,搜索特定达人并过滤粉丝数,,,
批量搜索,--keyword-file keywords.txt --dedup-keywords --max-keywords 100 --save-pg,批量处理关键词列表,,,
地域达人,--combine-second --province-id 310000 --city-id 310100 --save-pg,上海地区达人,,,
增量更新,--all-first--skip-existing--save-pg,跳过已有数据继续抓取,,,
快速测试,--first-label 美妆 --max-tags 3 --dry-run,测试配置不实际执行,,,
高速抓取,--all-first --adaptive-qps --adaptive-min-qps 3 --adaptive-max-qps 10 --save-pg,自适应调速最大化效率,,,
