参数分类,参数名称,参数类型,默认值,是否必填,参数说明,使用示例,参数组合建议,
执行模式,--all-first,布尔值,FALSE,否,抓取所有一级标签,--all-first,与 --combine-second 互斥,
执行模式,--combine-SECOND,布尔值,FALSE,否,抓取一级+二级标签组合,--combine-SECOND,与 --all-first 互斥,
执行模式,keyword,字符串,None,否,关键词搜索（昵称）,--keyword 张三,与标签模式互斥,
执行模式,search_star_id,字符串,None,否,星图ID搜索,--search-star-id 1234567890,自动识别为 search_type1,
执行模式,search_handle,字符串,None,否,抖音号搜索,--SEARCH-handle douyin123,自动识别为 search_type3,
执行模式,search_nickname,字符串,None,否,昵称搜索,--SEARCH-nickname 李四,同 keyword,
执行模式,keyword_file,字符串,None,否,批量关键词文件路径,--keyword-file keywords.txt,批量处理多个关键词,
基础配置,--tags-file,字符串,config/data/content_tag_v2.json,否,标签配置文件路径,--tags-file custom_tags.json,标签模式必需,
基础配置,--star-id,字符串,1843934177451019,否,星图账号ID,--star-id 1843934177451019,一般使用默认值,
基础配置,--user-agent,字符串,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,否,请求User-Agent,--user-agent "自定义UA",一般使用默认值,
基础配置,--referer,字符串,https://agent.oceanengine.com/admin/star-agent/vue2/market,否,请求Referer,--referer "自定义Referer",一般使用默认值,
分页参数,max_pages,整数,9999,否,最大抓取页数,--max-pages 50,配合 auto_pages 使用,
分页参数,page,整数,1,否,起始页码,--page 1,一般使用默认值,
分页参数,limit,整数,20,否,每页数据量,--limit 20,建议 10-20,
分页参数,auto_pages,布尔值,TRUE,否,自动分页模式,--auto-pages,建议开启,
分页参数,auto_pages_upper_bound,整数,100,否,自动分页上限,--auto-pages-upper-bound 100,防止过度抓取,
分页参数,skip_existing,布尔值,FALSE,否,跳过已存在数据,--skip-existing,增量抓取时开启,
过滤参数,min_price,整数,0,否,最低报价（单位：分）,--min-price 10000,100元10000分,
过滤参数,video_type,字符串,2,否,视频类型（1:图文 2:视频）,--video-type 2,一般使用默认值,
过滤参数,use_price_filter,布尔值,TRUE,否,是否使用价格过滤,--use-PRICE-FILTER,建议开启,
过滤参数,follower_ge,整数,None,否,粉丝数下限,--follower-ge 100000,10万粉丝,
过滤参数,follower_lt,整数,None,否,粉丝数上限,--follower-lt 1000000,100万粉丝,
过滤参数,province_id,字符串,None,否,省份ID,--province-id 110000,参考 region_codes.json,
过滤参数,city_id,字符串,None,否,城市ID,--city-id 110100,参考 city_codes.json,
过滤参数,extra_filter,列表,[],否,额外过滤条件,--extra-filter '{"key":"value"}',JSON格式,
标签参数,first_label,字符串,None,否,一级标签名称过滤,--first-label 美妆,选定标签模式使用,
标签参数,second_label,字符串,None,否,二级标签名称过滤,--SECOND-label 护肤,选定标签模式使用,
标签参数,max_tags,整数,None,否,最大标签数量,--max-tags 10,限制处理标签数,
请求控制,sleep_ms,整数,500,否,请求间隔（毫秒）,--sleep-ms 500,建议 300-1000,
请求控制,retry_max,整数,3,否,最大重试次数,--retry-max 3,建议 2-5,
请求控制,retry_backoff_ms,整数,5000,否,重试退避时间（毫秒）,--retry-backoff-ms 5000,建议 3000-10000,
请求控制,stop_when_empty,布尔值,TRUE,否,空页停止,--stop-when-empty,建议开启,
请求控制,stop_when_empty_n,整数,3,否,连续N次空页后停止,--stop-when-empty-n 3,建议 2-5,
请求控制,cooldown_429_403_ms,整数,2000,否,限流冷却时间（毫秒）,--cooldown-429-403-ms 2000,建议 2000-5000,
请求控制,max_failure_rate,浮点数,0.3,否,最大失败率,--max-failure-rate 0.3,0.1-0.5,
请求控制,max_consecutive_401,整数,3,否,最大连续401次数,--max-consecutive-401 3,建议 2-5,
请求控制,pause_on_401_ms,整数,10000,否,401暂停时间（毫秒）,--pause-on-401-ms 10000,建议 5000-20000,
限速参数,domain_qps,整数,2,否,域名QPS限制,--domain-qps 2,建议 1-5,
限速参数,qps_window_ms,整数,1000,否,QPS窗口时间（毫秒）,--qps-window-ms 1000,一般使用默认值,
限速参数,adaptive_qps,布尔值,FALSE,否,自适应QPS,--adaptive-qps,高级功能,
限速参数,adaptive_min_qps,整数,1,否,自适应最小QPS,--adaptive-min-qps 1,adaptive_qpsTrue 时生效,
限速参数,adaptive_max_qps,整数,5,否,自适应最大QPS,--adaptive-max-qps 5,adaptive_qpsTrue 时生效,
限速参数,adaptive_step,整数,1,否,自适应步进,--adaptive-step 1,adaptive_qpsTrue 时生效,
限速参数,adaptive_backoff_base,浮点数,0.7,否,自适应退避基数,--adaptive-backoff-base 0.7,adaptive_qpsTrue 时生效,
限速参数,adaptive_backoff_max_power,整数,3,否,自适应退避最大幂次,--adaptive-backoff-max-power 3,adaptive_qpsTrue 时生效,
限速参数,adaptive_success_needed,整数,3,否,自适应升级所需成功次数,--adaptive-success-needed 3,adaptive_qpsTrue 时生效,
限速参数,adaptive_upgrade_cooldown_sec,整数,300,否,自适应升级冷却时间（秒）,--adaptive-upgrade-cooldown-sec 300,adaptive_qpsTrue 时生效,
限速参数,adaptive_failure_rate_threshold,浮点数,0.2,否,自适应失败率阈值,--adaptive-failure-rate-threshold 0.2,adaptive_qpsTrue 时生效,
输出配置,output_dir,字符串,./results,否,结果输出目录,--output-dir ./my_results,可自定义路径,
输出配置,report_dir,字符串,./reports,否,报告输出目录,--report-dir ./my_reports,可自定义路径,
数据库配置,save_pg,布尔值,FALSE,否,是否保存到PostgreSQL,--save-pg,需配合 pg_config,
数据库配置,pg_config,字符串,None,否,PostgreSQL配置文件路径,--pg-config config/postgres.json,入库必需,
账号管理,use_session_manager,布尔值,TRUE,否,是否使用多账号管理器,--use-session-manager,建议开启,
账号管理,cookies_file,字符串,None,否,Cookie文件路径,--cookies-file cookies.txt,单账号模式使用,
搜索参数,search_type,整数,2,否,搜索类型（1:星图ID 2:昵称 3:抖音号）,--search-type 2,关键词搜索时自动识别,
排序参数,sort_field,字符串,None,否,排序字段,--SORT-field fans_count,可选值见API文档,
排序参数,sort_type,字符串,None,否,排序类型,--SORT-TYPE desc,asc/desc,
场景参数,platform_source,字符串,None,否,平台来源,--platform-source 1,高级参数,
场景参数,search_scene,字符串,None,否,搜索场景,--search-scene 1,高级参数,
场景参数,display_scene,字符串,None,否,展示场景,--display-scene 1,高级参数,
