供应商全称,代理商名称,供应商类型,供应商性质,当前政策梯度,当前政策详情,财务结算方式,财务结算周期,2024年政策梯度,2024年政策详情,2024年累量金额,2024年合作状态,2025年政策梯度,2025年政策详情,2025年累量金额,2025年合作状态,一级对接人姓名,一级对接人电话,一级对接人微信,二级对接人姓名,二级对接人电话,二级对接人微信,是否代下单,是否双盖合同,合同跟进人,合同开始时间,合同结束时间,合同状态,资源类型,资源详情,可合作抖音,可合作小红书,可合作微信公众号,可合作微信视频号,可合作微博,可合作B站,可合作知乎,可合作快手,可合作懂车帝,可合作其他平台,供应商介绍
奇光青穗(广州)数字传媒有限公司,奇光青穗,独代+集采,独代+集采,25%≤X＜30%,,,,1、合作政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省众灿互动科技股份有限公司,众灿、酷比，河书、炳灿/,独代+集采,独代+集采,25%≤X＜30%,,,,政策：独家及外采资源通用政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西讯息文化传媒有限公司,讯息,独代+集采,独代+集采,25%≤X＜30%,,,,年框政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京新蜂趣驾网络科技有限公司,新蜂趣驾,独代,独代,25%≤X＜30%,,,,政策：独家及外采资源通用政策（独家+外采累框）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏州大禹数字文化科技集团有限公司,大禹,独代,独代,25%≤X＜30%,,,,确认政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京微润易行科技有限公司,熊小婴、天花板、泛生活,独代+集采,独代+集采,25%≤X＜30%,,,,政策：独家+外采,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京掌心互动网络科技有限公司,掌心,独代,独代,25%≤X＜30%,,,,政策：独家刊例资源政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青岛古麦嘉禾科技有限公司,古麦嘉禾、星禾时代,独代,独代,25%≤X＜30%,,,,政策：独家资源政策（不做外采，不能代下单）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京小灿灿网络科技有限公司,小灿灿、琥珀美妆、车节奏、麦籽、最美妆、苏颜美妆,独代+集采,独代+集采,20%≤X＜25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京新动互联信息技术有限公司,新动互联,独代,独代,x≥30%,,,,2024年政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京奇东传媒有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑州开心互动文化传播有限公司,NGE（原果庐）,独代,独代,x≥30%,,,,政策：自营,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南掌门互动网络科技有限公司,掌门互动,独代+集采,独代+集采,25%≤X＜30%,,,,微博（平台下单）：73折/返点27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麦芽传媒,麦芽传媒,独代,独代,25%≤X＜30%,,,,政策：独家资源政策（不做外采，不能代下单）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京易启拼信息科技有限公司,易启拼,独代+集采,独代+集采,25%≤X＜30%,,,,小红书：25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南昌文宸文化传媒有限公司,文宸、拉克,独代+集采,独代+集采,x≥30%,,,,机构名称：南昌文宸、拉克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京薄荷网络科技有限公司,最美妆,独代,独代,25%≤X＜30%,,,,政策：独家阶梯型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州无忧传媒有限公司,无忧传媒,独代+集采,独代+集采,25%≤X＜30%,,,,1、政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
